AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Ret.1,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Ret.1,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,injured,player_id,season,source_file,touches_prev,touches_prev_2,touches_prev_3,career_touches_prior,prior_multiweek_prev,age
,18.0,,,,100.0,2023-09-10,0.0,0.0,,,,,,*,76.0,1.0,,,48.6,36.0,CIN,,,4.0,"W, 24-3",,,1.0,0.0,0.0,,0.0,0.0,,CLE,4.0,,1.0,5.9,,5.3,,,5.3,106.0,21.0,,,,,False,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,0.0,0.0,28
,10.0,,,,,2023-09-18,0.0,0.0,,,,,,*,77.0,2.0,,,20.7,18.0,PIT,,,0.0,"L, 22-26",,,2.0,0.0,0.0,,0.0,0.0,,CLE,0.0,@,2.0,6.4,,,,,,64.0,0.0,,,,,False,chubni00,2023,chubni00_2023_gamelog.csv,18.0,0.0,0.0,18.0,0.0,28
,,,,,,2023-09-24,,,,,,,,Did Not Play,,3.0,,,,,TEN,,,,"W, 27-3",,,2.0,,,,,,,CLE,,,3.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,10.0,18.0,0.0,28.0,0.0,28
,,,,,,2023-10-01,,,,,,,,Did Not Play,,4.0,,,,,BAL,,,,"L, 3-28",,,2.0,,,,,,,CLE,,,4.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,10.0,18.0,28.0,1.0,28
,,,,,,2023-10-15,,,,,,,,Did Not Play,,5.0,,,,,SFO,,,,"W, 19-17",,,2.0,,,,,,,CLE,,,6.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,10.0,28.0,2.0,28
,,,,,,2023-10-22,,,,,,,,Did Not Play,,6.0,,,,,IND,,,,"W, 39-38",,,2.0,,,,,,,CLE,,@,7.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-10-29,,,,,,,,Did Not Play,,7.0,,,,,SEA,,,,"L, 20-24",,,2.0,,,,,,,CLE,,@,8.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-11-05,,,,,,,,Did Not Play,,8.0,,,,,ARI,,,,"W, 27-0",,,2.0,,,,,,,CLE,,,9.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-11-12,,,,,,,,Did Not Play,,9.0,,,,,BAL,,,,"W, 33-31",,,2.0,,,,,,,CLE,,@,10.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-11-19,,,,,,,,Did Not Play,,10.0,,,,,PIT,,,,"W, 13-10",,,2.0,,,,,,,CLE,,,11.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-11-26,,,,,,,,Did Not Play,,11.0,,,,,DEN,,,,"L, 12-29",,,2.0,,,,,,,CLE,,@,12.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-12-03,,,,,,,,Did Not Play,,12.0,,,,,LAR,,,,"L, 19-36",,,2.0,,,,,,,CLE,,@,13.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-12-10,,,,,,,,Did Not Play,,13.0,,,,,JAX,,,,"W, 31-27",,,2.0,,,,,,,CLE,,,14.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-12-17,,,,,,,,Did Not Play,,14.0,,,,,CHI,,,,"W, 20-17",,,2.0,,,,,,,CLE,,,15.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-12-24,,,,,,,,Did Not Play,,15.0,,,,,HOU,,,,"W, 36-22",,,2.0,,,,,,,CLE,,@,16.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2023-12-28,,,,,,,,Did Not Play,,16.0,,,,,NYJ,,,,"W, 37-20",,,2.0,,,,,,,CLE,,,17.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2024-01-07,,,,,,,,Did Not Play,,17.0,,,,,CIN,,,,"L, 14-31",,,2.0,,,,,,,CLE,,@,18.0,,,,,,,,,,,,,True,chubni00,2023,chubni00_2023_gamelog.csv,0.0,0.0,0.0,28.0,3.0,28
,,,,,,2024-09-08,,,,,,,,Did Not Play,,1.0,,,,,DAL,,,,"L, 17-33",,,,,,,,,,CLE,,,1.0,,,,,,,,,,,,,True,chubni00,2024,chubni00_2024_gamelog.csv,0.0,0.0,0.0,28.0,3.0,29
,,,,,,2024-09-15,,,,,,,,Did Not Play,,2.0,,,,,JAX,,,,"W, 18-13",,,,,,,,,,CLE,,,2.0,,,,,,,,,,,,@,True,chubni00,2024,chubni00_2024_gamelog.csv,0.0,0.0,0.0,28.0,3.0,29
,,,,,,2024-09-22,,,,,,,,Did Not Play,,3.0,,,,,NYG,,,,"L, 15-21",,,,,,,,,,CLE,,,3.0,,,,,,,,,,,,,True,chubni00,2024,chubni00_2024_gamelog.csv,0.0,0.0,0.0,28.0,3.0,29
,,,,,,2024-09-29,,,,,,,,Did Not Play,,4.0,,,,,LVR,,,,"L, 16-20",,,,,,,,,,CLE,,,4.0,,,,,,,,,,,,@,True,chubni00,2024,chubni00_2024_gamelog.csv,0.0,0.0,0.0,28.0,3.0,29
,,,,,,2024-10-06,,,,,,,,Did Not Play,,5.0,,,,,WAS,,,,"L, 13-34",,,,,,,,,,CLE,,,5.0,,,,,,,,,,,,@,True,chubni00,2024,chubni00_2024_gamelog.csv,0.0,0.0,0.0,28.0,3.0,29
,,,,,,2024-10-13,,,,,,,,Did Not Play,,6.0,,,,,PHI,,,,"L, 16-20",,,,,,,,,,CLE,,,6.0,,,,,,,,,,,,@,True,chubni00,2024,chubni00_2024_gamelog.csv,0.0,0.0,0.0,28.0,3.0,29
,11.0,,,,33.3,2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,78.0,7.0,,,35.7,30.0,CIN,,,1.0,"L, 14-21",,,1.0,0.0,0.0,,1.0,0.0,,CLE,3.0,,7.0,2.0,,10.0,,,3.3,22.0,10.0,0.0,,,,False,chubni00,2024,chubni00_2024_gamelog.csv,0.0,0.0,0.0,28.0,3.0,29
,16.0,,,,0.0,2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,79.0,8.0,,,59.4,41.0,BAL,,,0.0,"W, 29-24",,,2.0,0.0,0.0,,0.0,0.0,,CLE,2.0,,8.0,3.3,,,,,0.0,52.0,0.0,0.0,,,,False,chubni00,2024,chubni00_2024_gamelog.csv,11.0,0.0,0.0,39.0,2.0,29
,15.0,,,,100.0,2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,80.0,9.0,,,35.4,28.0,LAC,,,1.0,"L, 10-27",,,3.0,0.0,0.0,,0.0,0.0,,CLE,1.0,,9.0,2.6,,-4.0,,,-4.0,39.0,-4.0,0.0,,,,False,chubni00,2024,chubni00_2024_gamelog.csv,16.0,11.0,0.0,55.0,1.0,29
,11.0,,,,,2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,81.0,10.0,,,30.1,22.0,NOR,,,0.0,"L, 14-35",,,4.0,0.0,0.0,,0.0,0.0,,CLE,0.0,,11.0,4.5,,,,,,50.0,0.0,0.0,,,@,False,chubni00,2024,chubni00_2024_gamelog.csv,15.0,16.0,11.0,70.0,0.0,29
,20.0,,,,100.0,2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,82.0,11.0,,,65.5,38.0,PIT,,,1.0,"W, 24-19",,,5.0,0.0,0.0,,2.0,0.0,,CLE,1.0,,12.0,3.0,,1.0,,,1.0,59.0,1.0,0.0,,,,False,chubni00,2024,chubni00_2024_gamelog.csv,11.0,15.0,16.0,81.0,0.0,29
,9.0,,,,100.0,2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,83.0,12.0,,,33.7,29.0,DEN,,,2.0,"L, 32-41",,,6.0,0.0,0.0,,0.0,1.0,,CLE,2.0,,13.0,2.3,,12.0,,,12.0,21.0,24.0,0.0,,,@,False,chubni00,2024,chubni00_2024_gamelog.csv,20.0,11.0,15.0,101.0,0.0,29
,11.0,,,,0.0,2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,84.0,13.0,,,36.1,26.0,PIT,,,0.0,"L, 14-27",,,7.0,0.0,0.0,,0.0,0.0,,CLE,1.0,,14.0,4.4,,,,,0.0,48.0,0.0,0.0,,,@,False,chubni00,2024,chubni00_2024_gamelog.csv,9.0,20.0,11.0,110.0,0.0,29
,9.0,,,,0.0,2024-12-15,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,85.0,14.0,,,33.9,21.0,KAN,,,0.0,"L, 7-21",,,8.0,0.0,0.0,,0.0,0.0,,CLE,1.0,,15.0,4.6,,,,,0.0,41.0,0.0,0.0,,,,False,chubni00,2024,chubni00_2024_gamelog.csv,11.0,9.0,20.0,121.0,0.0,29
