AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,player_id,season,source_file,injured
,13.0,,,,60.0,2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,59.0,9.0,,,72.2,39.0,MIN,,,3.0,"L, 13-21",,6.0,0.0,0.0,,0.0,0.0,,IND,5.0,9.0,3.7,,3.7,,2.2,48.0,11.0,0.0,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,21.0,,,,50.0,2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,60.0,10.0,,,82.8,53.0,BUF,,,2.0,"L, 20-30",,7.0,0.0,0.0,,0.0,0.0,,IND,4.0,10.0,5.4,,4.0,,2.0,114.0,8.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,24.0,,,,50.0,2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,61.0,11.0,,,90.0,63.0,NYJ,,,1.0,"W, 28-27",,8.0,0.0,0.0,,0.0,0.0,,IND,2.0,11.0,2.4,,3.0,,1.5,57.0,3.0,0.0,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,11.0,,,,,2024-11-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,*,62.0,12.0,,,96.4,53.0,DET,,,0.0,"L, 6-24",,9.0,0.0,0.0,,0.0,0.0,,IND,0.0,12.0,3.2,,,,,35.0,0.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,25.0,,,,100.0,2024-12-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,63.0,13.0,,,88.7,55.0,NWE,,,1.0,"W, 25-24",,10.0,0.0,0.0,,0.0,1.0,,IND,1.0,13.0,3.8,,7.0,,7.0,96.0,7.0,0.0,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,22.0,,,,50.0,2024-12-15,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,64.0,14.0,,,68.4,52.0,DEN,,,1.0,"L, 13-31",,11.0,0.0,0.0,,0.0,0.0,,IND,2.0,15.0,4.9,,4.0,,2.0,107.0,4.0,0.0,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,29.0,,,,,2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,65.0,15.0,,,75.8,47.0,TEN,,,0.0,"W, 38-30",,12.0,0.0,0.0,,3.0,0.0,,IND,0.0,16.0,7.5,,,,,218.0,0.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,32.0,,,,50.0,2024-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,66.0,16.0,,,88.3,68.0,NYG,,,2.0,"L, 33-45",,13.0,0.0,0.0,,2.0,0.0,,IND,4.0,17.0,3.9,,5.5,,2.8,125.0,11.0,0.0,,,@,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,34.0,,,,50.0,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,67.0,17.0,,,71.8,56.0,JAX,,,1.0,"W, 26-23 (OT)",,14.0,0.0,0.0,,1.0,0.0,,IND,2.0,18.0,5.2,,3.0,,1.5,177.0,3.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,303.0,,,,58.1,,0.0,0.0,0.0,1.0,1.0,0.0,4.0,,,,,,79.9,707.0,,,,18.0,6-8,,,0.0,0.0,,11.0,1.0,,,31.0,,4.7,,7.6,,4.4,1431.0,136.0,0.0,,,,tayljo02,2024,tayljo02_2024_gamelog.csv,False
,,,,,,2024-09-09,,,,,,,,Inactive,,1.0,,,,,NYJ,,,,"W, 32-19",,,,,,,,,SFO,,1.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-09-15,,,,,,,,Did Not Play,,2.0,,,,,MIN,,,,"L, 17-23",,,,,,,,,SFO,,2.0,,,,,,,,,,,@,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-09-22,,,,,,,,Did Not Play,,3.0,,,,,LAR,,,,"L, 24-27",,,,,,,,,SFO,,3.0,,,,,,,,,,,@,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-09-29,,,,,,,,Did Not Play,,4.0,,,,,NWE,,,,"W, 30-13",,,,,,,,,SFO,,4.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-10-06,,,,,,,,Did Not Play,,5.0,,,,,ARI,,,,"L, 23-24",,,,,,,,,SFO,,5.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-10-10,,,,,,,,Did Not Play,,6.0,,,,,SEA,,,,"W, 36-24",,,,,,,,,SFO,,6.0,,,,,,,,,,,@,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-10-20,,,,,,,,Did Not Play,,7.0,,,,,KAN,,,,"L, 18-28",,,,,,,,,SFO,,7.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-10-27,,,,,,,,Did Not Play,,8.0,,,,,DAL,,,,"W, 30-24",,,,,,,,,SFO,,8.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,13.0,,,,85.7,2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,92.0,9.0,,,87.5,56.0,TAM,,,6.0,"W, 23-20",,1.0,0.0,0.0,,0.0,0.0,,SFO,7.0,10.0,3.0,,11.3,,9.7,39.0,68.0,0.0,,,@,mccach01,2024,mccach01_2024_gamelog.csv,False
,19.0,,,,80.0,2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,93.0,10.0,,,93.7,59.0,SEA,,,4.0,"L, 17-20",,2.0,0.0,0.0,,0.0,0.0,,SFO,5.0,11.0,4.2,,6.8,,5.4,79.0,27.0,0.0,,,,mccach01,2024,mccach01_2024_gamelog.csv,False
,11.0,,,,75.0,2024-11-24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,94.0,11.0,,,81.6,40.0,GNB,,,3.0,"L, 10-38",,3.0,0.0,0.0,,0.0,0.0,,SFO,4.0,12.0,2.8,,12.3,,9.3,31.0,37.0,0.0,,,@,mccach01,2024,mccach01_2024_gamelog.csv,False
,7.0,,,,66.7,2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,95.0,12.0,,,25.0,12.0,BUF,,,2.0,"L, 10-35",,4.0,0.0,0.0,,0.0,0.0,,SFO,3.0,13.0,7.6,,7.0,,4.7,53.0,14.0,0.0,,,@,mccach01,2024,mccach01_2024_gamelog.csv,False
,,,,,,2024-12-08,,,,,,,,Did Not Play,,13.0,,,,,CHI,,,,"W, 38-13",,4.0,,,,,,,SFO,,14.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-12-12,,,,,,,,Did Not Play,,14.0,,,,,LAR,,,,"L, 6-12",,4.0,,,,,,,SFO,,15.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-12-22,,,,,,,,Did Not Play,,15.0,,,,,MIA,,,,"L, 17-29",,4.0,,,,,,,SFO,,16.0,,,,,,,,,,,@,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2024-12-30,,,,,,,,Did Not Play,,16.0,,,,,DET,,,,"L, 34-40",,4.0,,,,,,,SFO,,17.0,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv,True
,,,,,,2025-01-05,,,,,,,,Did Not Play,,17.0,,,,,ARI,,,,"L, 24-47",,4.0,,,,,,,SFO,,18.0,,,,,,,,,,,@,mccach01,2024,mccach01_2024_gamelog.csv,True
